data,label
10_0.0_10-0,0.0
10_0.0_10-1,0.0
10_0.0_10-10,0.0
10_0.0_10-11,0.0
10_0.0_10-12,0.0
10_0.0_10-13,0.0
10_0.0_10-14,0.0
10_0.0_10-15,0.0
10_0.0_10-16,0.0
10_0.0_10-17,0.0
10_0.0_10-18,0.0
10_0.0_10-19,0.0
10_0.0_10-2,0.0
10_0.0_10-20,0.0
10_0.0_10-21,0.0
10_0.0_10-22,0.0
10_0.0_10-23,0.0
10_0.0_10-24,0.0
10_0.0_10-25,0.0
10_0.0_10-26,0.0
10_0.0_10-27,0.0
10_0.0_10-28,0.0
10_0.0_10-29,0.0
10_0.0_10-3,0.0
10_0.0_10-30,0.0
10_0.0_10-31,0.0
10_0.0_10-32,0.0
10_0.0_10-33,0.0
10_0.0_10-34,0.0
10_0.0_10-4,0.0
10_0.0_10-5,0.0
10_0.0_10-6,0.0
10_0.0_10-7,0.0
10_0.0_10-8,0.0
10_0.0_10-9,0.0
10_0.0_15-0,0.0
10_0.0_15-1,0.0
10_0.0_15-10,0.0
10_0.0_15-11,0.0
10_0.0_15-12,0.0
10_0.0_15-13,0.0
10_0.0_15-14,0.0
10_0.0_15-15,0.0
10_0.0_15-16,0.0
10_0.0_15-17,0.0
10_0.0_15-18,0.0
10_0.0_15-19,0.0
10_0.0_15-2,0.0
10_0.0_15-20,0.0
10_0.0_15-21,0.0
10_0.0_15-22,0.0
10_0.0_15-23,0.0
10_0.0_15-24,0.0
10_0.0_15-25,0.0
10_0.0_15-26,0.0
10_0.0_15-27,0.0
10_0.0_15-28,0.0
10_0.0_15-29,0.0
10_0.0_15-3,0.0
10_0.0_15-30,0.0
10_0.0_15-31,0.0
10_0.0_15-32,0.0
10_0.0_15-33,0.0
10_0.0_15-34,0.0
10_0.0_15-35,0.0
10_0.0_15-36,0.0
10_0.0_15-37,0.0
10_0.0_15-4,0.0
10_0.0_15-5,0.0
10_0.0_15-6,0.0
10_0.0_15-7,0.0
10_0.0_15-8,0.0
10_0.0_15-9,0.0
10_0.0_19-0,0.0
10_0.0_19-1,0.0
10_0.0_19-10,0.0
10_0.0_19-11,0.0
10_0.0_19-12,0.0
10_0.0_19-13,0.0
10_0.0_19-14,0.0
10_0.0_19-15,0.0
10_0.0_19-16,0.0
10_0.0_19-17,0.0
10_0.0_19-18,0.0
10_0.0_19-19,0.0
10_0.0_19-2,0.0
10_0.0_19-20,0.0
10_0.0_19-21,0.0
10_0.0_19-22,0.0
10_0.0_19-23,0.0
10_0.0_19-24,0.0
10_0.0_19-25,0.0
10_0.0_19-26,0.0
10_0.0_19-27,0.0
10_0.0_19-28,0.0
10_0.0_19-29,0.0
10_0.0_19-3,0.0
10_0.0_19-30,0.0
10_0.0_19-4,0.0
10_0.0_19-5,0.0
10_0.0_19-6,0.0
10_0.0_19-7,0.0
10_0.0_19-8,0.0
10_0.0_19-9,0.0
10_0.0_22-0,0.0
10_0.0_22-1,0.0
10_0.0_22-10,0.0
10_0.0_22-11,0.0
10_0.0_22-12,0.0
10_0.0_22-13,0.0
10_0.0_22-14,0.0
10_0.0_22-15,0.0
10_0.0_22-16,0.0
10_0.0_22-17,0.0
10_0.0_22-18,0.0
10_0.0_22-19,0.0
10_0.0_22-2,0.0
10_0.0_22-20,0.0
10_0.0_22-21,0.0
10_0.0_22-22,0.0
10_0.0_22-23,0.0
10_0.0_22-24,0.0
10_0.0_22-25,0.0
10_0.0_22-26,0.0
10_0.0_22-27,0.0
10_0.0_22-28,0.0
10_0.0_22-29,0.0
10_0.0_22-3,0.0
10_0.0_22-30,0.0
10_0.0_22-31,0.0
10_0.0_22-32,0.0
10_0.0_22-33,0.0
10_0.0_22-34,0.0
10_0.0_22-35,0.0
10_0.0_22-36,0.0
10_0.0_22-37,0.0
10_0.0_22-38,0.0
10_0.0_22-39,0.0
10_0.0_22-4,0.0
10_0.0_22-40,0.0
10_0.0_22-41,0.0
10_0.0_22-42,0.0
10_0.0_22-43,0.0
10_0.0_22-44,0.0
10_0.0_22-45,0.0
10_0.0_22-46,0.0
10_0.0_22-47,0.0
10_0.0_22-48,0.0
10_0.0_22-49,0.0
10_0.0_22-5,0.0
10_0.0_22-50,0.0
10_0.0_22-51,0.0
10_0.0_22-52,0.0
10_0.0_22-53,0.0
10_0.0_22-54,0.0
10_0.0_22-55,0.0
10_0.0_22-56,0.0
10_0.0_22-57,0.0
10_0.0_22-58,0.0
10_0.0_22-59,0.0
10_0.0_22-6,0.0
10_0.0_22-7,0.0
10_0.0_22-8,0.0
10_0.0_22-9,0.0
10_0.0_30-0,0.0
10_0.0_30-1,0.0
10_0.0_30-10,0.0
10_0.0_30-11,0.0
10_0.0_30-12,0.0
10_0.0_30-13,0.0
10_0.0_30-14,0.0
10_0.0_30-15,0.0
10_0.0_30-16,0.0
10_0.0_30-17,0.0
10_0.0_30-18,0.0
10_0.0_30-2,0.0
10_0.0_30-3,0.0
10_0.0_30-4,0.0
10_0.0_30-5,0.0
10_0.0_30-6,0.0
10_0.0_30-7,0.0
10_0.0_30-8,0.0
10_0.0_30-9,0.0
10_0.0_34-0,0.0
